index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery
160,2012,548325,0,Mumbai Indians,2,0
161,2012,548325,1,Delhi Daredevils,6,0
162,2012,548325,1,Mumbai Indians,1,1
163,2012,548325,2,Delhi Daredevils,4,0
164,2012,548325,2,Mumbai Indians,2,0
165,2012,548325,3,Delhi Daredevils,4,0
166,2012,548325,3,Mumbai Indians,2,1
167,2012,548325,4,Delhi Daredevils,12,0
168,2012,548325,4,Mumbai Indians,9,0
169,2012,548325,5,Delhi Daredevils,7,1
170,2012,548325,5,Mumbai Indians,7,0
171,2012,548325,6,Delhi Daredevils,3,0
172,2012,548325,6,Mumbai Indians,7,0
173,2012,548325,7,Delhi Daredevils,8,1
174,2012,548325,7,Mumbai Indians,7,1
175,2012,548325,8,Delhi Daredevils,1,0
176,2012,548325,8,Mumbai Indians,3,1
177,2012,548325,9,Delhi Daredevils,5,0
178,2012,548325,9,Mumbai Indians,3,1
179,2012,548325,10,Delhi Daredevils,9,0
180,2012,548325,10,Mumbai Indians,2,1
181,2012,548325,11,Delhi Daredevils,7,0
182,2012,548325,11,Mumbai Indians,17,0
183,2012,548325,12,Delhi Daredevils,6,1
184,2012,548325,12,Mumbai Indians,7,0
185,2012,548325,13,Delhi Daredevils,7,0
186,2012,548325,13,Mumbai Indians,6,0
187,2012,548325,14,Delhi Daredevils,6,0
188,2012,548325,14,Mumbai Indians,4,1
189,2012,548325,15,Mumbai Indians,1,1
190,2012,548325,16,Mumbai Indians,3,0
191,2012,548325,17,Mumbai Indians,6,1
192,2012,548325,18,Mumbai Indians,3,0
193,2012,548325,19,Mumbai Indians,0,1
194,2012,548326,0,Deccan Chargers,9,0
195,2012,548326,0,Rajasthan Royals,5,0
196,2012,548326,1,Deccan Chargers,7,0
197,2012,548326,1,Rajasthan Royals,12,0
198,2012,548326,2,Deccan Chargers,10,0
199,2012,548326,2,Rajasthan Royals,8,0
200,2012,548326,3,Deccan Chargers,13,0
201,2012,548326,3,Rajasthan Royals,14,0
202,2012,548326,4,Deccan Chargers,10,0
203,2012,548326,4,Rajasthan Royals,11,0
204,2012,548326,5,Deccan Chargers,8,0
205,2012,548326,5,Rajasthan Royals,12,1
206,2012,548326,6,Deccan Chargers,6,0
207,2012,548326,6,Rajasthan Royals,8,0
208,2012,548326,7,Deccan Chargers,7,0
209,2012,548326,7,Rajasthan Royals,4,0
210,2012,548326,8,Deccan Chargers,7,0
211,2012,548326,8,Rajasthan Royals,4,0
212,2012,548326,9,Deccan Chargers,6,0
213,2012,548326,9,Rajasthan Royals,11,0
214,2012,548326,10,Deccan Chargers,13,1
215,2012,548326,10,Rajasthan Royals,12,0
216,2012,548326,11,Deccan Chargers,9,0
217,2012,548326,11,Rajasthan Royals,9,1
218,2012,548326,12,Deccan Chargers,3,0
219,2012,548326,12,Rajasthan Royals,9,0
220,2012,548326,13,Deccan Chargers,2,1
221,2012,548326,13,Rajasthan Royals,4,1
222,2012,548326,14,Deccan Chargers,9,0
223,2012,548326,14,Rajasthan Royals,11,0
224,2012,548326,15,Deccan Chargers,13,0
225,2012,548326,15,Rajasthan Royals,8,1
226,2012,548326,16,Deccan Chargers,11,0
227,2012,548326,16,Rajasthan Royals,17,0
228,2012,548326,17,Deccan Chargers,17,0
229,2012,548326,17,Rajasthan Royals,13,0
230,2012,548326,18,Deccan Chargers,18,0
231,2012,548326,18,Rajasthan Royals,14,1
232,2012,548326,19,Deccan Chargers,18,0
233,2012,548326,19,Rajasthan Royals,11,0
234,2012,548327,0,Pune Warriors,5,0
235,2012,548327,0,Royal Challengers Bangalore,3,0
236,2012,548327,1,Pune Warriors,13,0
237,2012,548327,1,Royal Challengers Bangalore,1,0
238,2012,548327,2,Pune Warriors,12,0
239,2012,548327,2,Royal Challengers Bangalore,13,1
240,2012,548327,3,Pune Warriors,7,0
241,2012,548327,3,Royal Challengers Bangalore,18,0
242,2012,548327,4,Pune Warriors,11,0
243,2012,548327,4,Royal Challengers Bangalore,5,0
244,2012,548327,5,Pune Warriors,10,0
245,2012,548327,5,Royal Challengers Bangalore,2,1
246,2012,548327,6,Pune Warriors,5,1
247,2012,548327,6,Royal Challengers Bangalore,5,0
248,2012,548327,7,Pune Warriors,11,0
249,2012,548327,7,Royal Challengers Bangalore,3,0
250,2012,548327,8,Pune Warriors,10,0
251,2012,548327,8,Royal Challengers Bangalore,6,0
252,2012,548327,9,Pune Warriors,12,0
253,2012,548327,9,Royal Challengers Bangalore,7,0
254,2012,548327,10,Pune Warriors,5,0
255,2012,548327,10,Royal Challengers Bangalore,5,0
256,2012,548327,11,Pune Warriors,11,1
257,2012,548327,11,Royal Challengers Bangalore,8,1
258,2012,548327,12,Pune Warriors,5,1
259,2012,548327,12,Royal Challengers Bangalore,31,0
260,2012,548327,13,Pune Warriors,12,0
261,2012,548327,13,Royal Challengers Bangalore,5,0
262,2012,548327,14,Pune Warriors,5,0
263,2012,548327,14,Royal Challengers Bangalore,5,0
264,2012,548327,15,Pune Warriors,7,0
265,2012,548327,15,Royal Challengers Bangalore,11,1
266,2012,548327,16,Pune Warriors,14,0
267,2012,548327,16,Royal Challengers Bangalore,11,0
268,2012,548327,17,Pune Warriors,9,1
269,2012,548327,17,Royal Challengers Bangalore,16,0
270,2012,548327,18,Pune Warriors,11,1
271,2012,548327,18,Royal Challengers Bangalore,7,0
272,2012,548327,19,Pune Warriors,7,1
273,2012,548327,19,Royal Challengers Bangalore,24,0
274,2012,548328,0,Kings XI Punjab,8,0
275,2012,548328,0,Kolkata Knight Riders,10,0
276,2012,548328,1,Kings XI Punjab,7,0
277,2012,548328,1,Kolkata Knight Riders,8,0
278,2012,548328,2,Kings XI Punjab,9,1
279,2012,548328,2,Kolkata Knight Riders,0,0
280,2012,548328,3,Kings XI Punjab,5,0
281,2012,548328,3,Kolkata Knight Riders,14,0
282,2012,548328,4,Kings XI Punjab,5,0
283,2012,548328,4,Kolkata Knight Riders,15,0
284,2012,548328,5,Kings XI Punjab,11,0
285,2012,548328,5,Kolkata Knight Riders,6,1
286,2012,548328,6,Kings XI Punjab,5,0
287,2012,548328,6,Kolkata Knight Riders,3,0
288,2012,548328,7,Kings XI Punjab,4,0
289,2012,548328,7,Kolkata Knight Riders,4,0
290,2012,548328,8,Kings XI Punjab,7,0
291,2012,548328,8,Kolkata Knight Riders,12,0
292,2012,548328,9,Kings XI Punjab,2,1
293,2012,548328,9,Kolkata Knight Riders,3,1
294,2012,548328,10,Kings XI Punjab,5,0
295,2012,548328,10,Kolkata Knight Riders,5,0
296,2012,548328,11,Kings XI Punjab,7,0
297,2012,548328,11,Kolkata Knight Riders,3,0
298,2012,548328,12,Kings XI Punjab,8,0
299,2012,548328,12,Kolkata Knight Riders,8,0
300,2012,548328,13,Kings XI Punjab,3,1
301,2012,548328,13,Kolkata Knight Riders,6,0
302,2012,548328,14,Kings XI Punjab,3,1
303,2012,548328,14,Kolkata Knight Riders,10,0
304,2012,548328,15,Kings XI Punjab,7,0
305,2012,548328,15,Kolkata Knight Riders,10,0
306,2012,548328,16,Kings XI Punjab,7,1
307,2012,548328,16,Kolkata Knight Riders,10,0
308,2012,548328,17,Kings XI Punjab,4,1
309,2012,548328,18,Kings XI Punjab,7,0
310,2012,548328,19,Kings XI Punjab,10,1
311,2012,548329,0,Deccan Chargers,8,0
312,2012,548329,0,Delhi Daredevils,16,1
313,2012,548329,1,Deccan Chargers,8,0
314,2012,548329,1,Delhi Daredevils,7,0
315,2012,548329,2,Deccan Chargers,3,0
316,2012,548329,2,Delhi Daredevils,6,0
317,2012,548329,3,Deccan Chargers,5,0
318,2012,548329,3,Delhi Daredevils,13,0
319,2012,548329,4,Deccan Chargers,4,1
320,2012,548329,4,Delhi Daredevils,2,0
321,2012,548329,5,Deccan Chargers,5,1
322,2012,548329,5,Delhi Daredevils,20,0
323,2012,548329,6,Deccan Chargers,9,0
324,2012,548329,6,Delhi Daredevils,10,0
325,2012,548329,7,Deccan Chargers,8,0
326,2012,548329,7,Delhi Daredevils,13,0
327,2012,548329,8,Deccan Chargers,10,0
328,2012,548329,8,Delhi Daredevils,15,0
329,2012,548329,9,Deccan Chargers,4,0
330,2012,548329,9,Delhi Daredevils,10,0
331,2012,548329,10,Deccan Chargers,6,0
332,2012,548329,10,Delhi Daredevils,12,0
333,2012,548329,11,Deccan Chargers,15,0
334,2012,548329,11,Delhi Daredevils,5,0
335,2012,548329,12,Deccan Chargers,16,0
336,2012,548329,12,Delhi Daredevils,9,0
337,2012,548329,13,Deccan Chargers,11,0
338,2012,548329,13,Delhi Daredevils,16,0
339,2012,548329,14,Deccan Chargers,15,0
340,2012,548329,14,Delhi Daredevils,13,0
341,2012,548329,15,Deccan Chargers,13,0
342,2012,548329,15,Delhi Daredevils,16,0
343,2012,548329,16,Deccan Chargers,17,0
344,2012,548329,16,Delhi Daredevils,10,0
345,2012,548329,17,Deccan Chargers,13,1
346,2012,548329,18,Deccan Chargers,8,0
347,2012,548329,19,Deccan Chargers,9,1
348,2012,548330,0,Chennai Super Kings,6,0
349,2012,548330,0,Pune Warriors,9,0
350,2012,548330,1,Chennai Super Kings,2,0
351,2012,548330,1,Pune Warriors,6,1
352,2012,548330,2,Chennai Super Kings,1,0
353,2012,548330,2,Pune Warriors,7,0
354,2012,548330,3,Chennai Super Kings,8,0
355,2012,548330,3,Pune Warriors,4,1
356,2012,548330,4,Chennai Super Kings,11,0
357,2012,548330,4,Pune Warriors,9,0
358,2012,548330,5,Chennai Super Kings,14,0
359,2012,548330,5,Pune Warriors,18,0
360,2012,548330,6,Chennai Super Kings,1,0
361,2012,548330,6,Pune Warriors,2,1
362,2012,548330,7,Chennai Super Kings,12,0
363,2012,548330,7,Pune Warriors,4,0
364,2012,548330,8,Chennai Super Kings,9,0
365,2012,548330,8,Pune Warriors,2,0
366,2012,548330,9,Chennai Super Kings,4,0
367,2012,548330,9,Pune Warriors,4,1
368,2012,548330,10,Chennai Super Kings,6,0
369,2012,548330,10,Pune Warriors,7,0
370,2012,548330,11,Chennai Super Kings,9,0
371,2012,548330,11,Pune Warriors,13,0
372,2012,548330,12,Chennai Super Kings,6,0
373,2012,548330,12,Pune Warriors,11,0
374,2012,548330,13,Chennai Super Kings,11,0
375,2012,548330,13,Pune Warriors,4,1
376,2012,548330,14,Chennai Super Kings,15,0
377,2012,548330,14,Pune Warriors,7,0
378,2012,548330,15,Chennai Super Kings,1,2
379,2012,548330,15,Pune Warriors,17,0
380,2012,548330,16,Chennai Super Kings,9,1
381,2012,548330,16,Pune Warriors,6,0
382,2012,548330,17,Chennai Super Kings,12,0
383,2012,548330,17,Pune Warriors,10,0
384,2012,548330,18,Chennai Super Kings,9,1
385,2012,548330,18,Pune Warriors,4,1
386,2012,548330,19,Chennai Super Kings,18,1
387,2012,548330,19,Pune Warriors,7,1
388,2012,548331,0,Kings XI Punjab,3,0
389,2012,548331,0,Royal Challengers Bangalore,3,0
390,2012,548331,1,Kings XI Punjab,7,0
391,2012,548331,1,Royal Challengers Bangalore,5,2
392,2012,548331,2,Kings XI Punjab,5,1
393,2012,548331,2,Royal Challengers Bangalore,9,0
394,2012,548331,3,Kings XI Punjab,5,0
395,2012,548331,3,Royal Challengers Bangalore,1,0
396,2012,548331,4,Kings XI Punjab,7,1
397,2012,548331,4,Royal Challengers Bangalore,7,0
398,2012,548331,5,Kings XI Punjab,14,0
399,2012,548331,5,Royal Challengers Bangalore,11,1
400,2012,548331,6,Kings XI Punjab,10,0
401,2012,548331,6,Royal Challengers Bangalore,3,0
402,2012,548331,7,Kings XI Punjab,6,0
