index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery,BowlingTeam
169,2012,548325,5,Delhi Daredevils,7,1,Mumbai Indians
170,2012,548325,5,Mumbai Indians,7,0,Delhi Daredevils
171,2012,548325,6,Delhi Daredevils,3,0,Mumbai Indians
172,2012,548325,6,Mumbai Indians,7,0,Delhi Daredevils
173,2012,548325,7,Delhi Daredevils,8,1,Mumbai Indians
174,2012,548325,7,Mumbai Indians,7,1,Delhi Daredevils
175,2012,548325,8,Delhi Daredevils,1,0,Mumbai Indians
176,2012,548325,8,Mumbai Indians,3,1,Delhi Daredevils
177,2012,548325,9,Delhi Daredevils,5,0,Mumbai Indians
178,2012,548325,9,Mumbai Indians,3,1,Delhi Daredevils
179,2012,548325,10,Delhi Daredevils,9,0,Mumbai Indians
180,2012,548325,10,Mumbai Indians,2,1,Delhi Daredevils
181,2012,548325,11,Delhi Daredevils,7,0,Mumbai Indians
182,2012,548325,11,Mumbai Indians,17,0,Delhi Daredevils
183,2012,548325,12,Delhi Daredevils,6,1,Mumbai Indians
184,2012,548325,12,Mumbai Indians,7,0,Delhi Daredevils
185,2012,548325,13,Delhi Daredevils,7,0,Mumbai Indians
186,2012,548325,13,Mumbai Indians,6,0,Delhi Daredevils
187,2012,548325,14,Delhi Daredevils,6,0,Mumbai Indians
188,2012,548325,14,Mumbai Indians,4,1,Delhi Daredevils
189,2012,548325,15,Mumbai Indians,1,1,Delhi Daredevils
190,2012,548325,16,Mumbai Indians,3,0,Delhi Daredevils
191,2012,548325,17,Mumbai Indians,6,1,Delhi Daredevils
192,2012,548325,18,Mumbai Indians,3,0,Delhi Daredevils
193,2012,548325,19,Mumbai Indians,0,1,Delhi Daredevils
194,2012,548326,0,Deccan Chargers,9,0,Rajasthan Royals
195,2012,548326,0,Rajasthan Royals,5,0,Deccan Chargers
196,2012,548326,1,Deccan Chargers,7,0,Rajasthan Royals
197,2012,548326,1,Rajasthan Royals,12,0,Deccan Chargers
198,2012,548326,2,Deccan Chargers,10,0,Rajasthan Royals
199,2012,548326,2,Rajasthan Royals,8,0,Deccan Chargers
200,2012,548326,3,Deccan Chargers,13,0,Rajasthan Royals
201,2012,548326,3,Rajasthan Royals,14,0,Deccan Chargers
202,2012,548326,4,Deccan Chargers,10,0,Rajasthan Royals
203,2012,548326,4,Rajasthan Royals,11,0,Deccan Chargers
204,2012,548326,5,Deccan Chargers,8,0,Rajasthan Royals
205,2012,548326,5,Rajasthan Royals,12,1,Deccan Chargers
206,2012,548326,6,Deccan Chargers,6,0,Rajasthan Royals
207,2012,548326,6,Rajasthan Royals,8,0,Deccan Chargers
208,2012,548326,7,Deccan Chargers,7,0,Rajasthan Royals
209,2012,548326,7,Rajasthan Royals,4,0,Deccan Chargers
210,2012,548326,8,Deccan Chargers,7,0,Rajasthan Royals
211,2012,548326,8,Rajasthan Royals,4,0,Deccan Chargers
212,2012,548326,9,Deccan Chargers,6,0,Rajasthan Royals
213,2012,548326,9,Rajasthan Royals,11,0,Deccan Chargers
214,2012,548326,10,Deccan Chargers,13,1,Rajasthan Royals
215,2012,548326,10,Rajasthan Royals,12,0,Deccan Chargers
216,2012,548326,11,Deccan Chargers,9,0,Rajasthan Royals
217,2012,548326,11,Rajasthan Royals,9,1,Deccan Chargers
218,2012,548326,12,Deccan Chargers,3,0,Rajasthan Royals
219,2012,548326,12,Rajasthan Royals,9,0,Deccan Chargers
220,2012,548326,13,Deccan Chargers,2,1,Rajasthan Royals
221,2012,548326,13,Rajasthan Royals,4,1,Deccan Chargers
222,2012,548326,14,Deccan Chargers,9,0,Rajasthan Royals
223,2012,548326,14,Rajasthan Royals,11,0,Deccan Chargers
224,2012,548326,15,Deccan Chargers,13,0,Rajasthan Royals
225,2012,548326,15,Rajasthan Royals,8,1,Deccan Chargers
226,2012,548326,16,Deccan Chargers,11,0,Rajasthan Royals
227,2012,548326,16,Rajasthan Royals,17,0,Deccan Chargers
228,2012,548326,17,Deccan Chargers,17,0,Rajasthan Royals
229,2012,548326,17,Rajasthan Royals,13,0,Deccan Chargers
230,2012,548326,18,Deccan Chargers,18,0,Rajasthan Royals
231,2012,548326,18,Rajasthan Royals,14,1,Deccan Chargers
232,2012,548326,19,Deccan Chargers,18,0,Rajasthan Royals
233,2012,548326,19,Rajasthan Royals,11,0,Deccan Chargers
234,2012,548327,0,Pune Warriors,5,0,Royal Challengers Bangalore
235,2012,548327,0,Royal Challengers Bangalore,3,0,Pune Warriors
236,2012,548327,1,Pune Warriors,13,0,Royal Challengers Bangalore
237,2012,548327,1,Royal Challengers Bangalore,1,0,Pune Warriors
238,2012,548327,2,Pune Warriors,12,0,Royal Challengers Bangalore
239,2012,548327,2,Royal Challengers Bangalore,13,1,Pune Warriors
240,2012,548327,3,Pune Warriors,7,0,Royal Challengers Bangalore
241,2012,548327,3,Royal Challengers Bangalore,18,0,Pune Warriors
242,2012,548327,4,Pune Warriors,11,0,Royal Challengers Bangalore
243,2012,548327,4,Royal Challengers Bangalore,5,0,Pune Warriors
244,2012,548327,5,Pune Warriors,10,0,Royal Challengers Bangalore
245,2012,548327,5,Royal Challengers Bangalore,2,1,Pune Warriors
246,2012,548327,6,Pune Warriors,5,1,Royal Challengers Bangalore
247,2012,548327,6,Royal Challengers Bangalore,5,0,Pune Warriors
248,2012,548327,7,Pune Warriors,11,0,Royal Challengers Bangalore
249,2012,548327,7,Royal Challengers Bangalore,3,0,Pune Warriors
250,2012,548327,8,Pune Warriors,10,0,Royal Challengers Bangalore
251,2012,548327,8,Royal Challengers Bangalore,6,0,Pune Warriors
252,2012,548327,9,Pune Warriors,12,0,Royal Challengers Bangalore
253,2012,548327,9,Royal Challengers Bangalore,7,0,Pune Warriors
254,2012,548327,10,Pune Warriors,5,0,Royal Challengers Bangalore
255,2012,548327,10,Royal Challengers Bangalore,5,0,Pune Warriors
256,2012,548327,11,Pune Warriors,11,1,Royal Challengers Bangalore
257,2012,548327,11,Royal Challengers Bangalore,8,1,Pune Warriors
258,2012,548327,12,Pune Warriors,5,1,Royal Challengers Bangalore
259,2012,548327,12,Royal Challengers Bangalore,31,0,Pune Warriors
260,2012,548327,13,Pune Warriors,12,0,Royal Challengers Bangalore
261,2012,548327,13,Royal Challengers Bangalore,5,0,Pune Warriors
262,2012,548327,14,Pune Warriors,5,0,Royal Challengers Bangalore
263,2012,548327,14,Royal Challengers Bangalore,5,0,Pune Warriors
264,2012,548327,15,Pune Warriors,7,0,Royal Challengers Bangalore
265,2012,548327,15,Royal Challengers Bangalore,11,1,Pune Warriors
266,2012,548327,16,Pune Warriors,14,0,Royal Challengers Bangalore
267,2012,548327,16,Royal Challengers Bangalore,11,0,Pune Warriors
268,2012,548327,17,Pune Warriors,9,1,Royal Challengers Bangalore
269,2012,548327,17,Royal Challengers Bangalore,16,0,Pune Warriors
270,2012,548327,18,Pune Warriors,11,1,Royal Challengers Bangalore
271,2012,548327,18,Royal Challengers Bangalore,7,0,Pune Warriors
272,2012,548327,19,Pune Warriors,7,1,Royal Challengers Bangalore
273,2012,548327,19,Royal Challengers Bangalore,24,0,Pune Warriors
274,2012,548328,0,Kings XI Punjab,8,0,Kolkata Knight Riders
275,2012,548328,0,Kolkata Knight Riders,10,0,Kings XI Punjab
