Season,ID,overs,BattingTeam,total_run
2012,548327,14,Royal Challengers Bangalore,5
2012,548327,15,Pune Warriors,7
2012,548327,15,Royal Challengers Bangalore,11
2012,548327,16,Pune Warriors,14
2012,548327,16,Royal Challengers Bangalore,11
2012,548327,17,Pune Warriors,9
2012,548327,17,Royal Challengers Bangalore,16
2012,548327,18,Pune Warriors,11
2012,548327,18,Royal Challengers Bangalore,7
2012,548327,19,Pune Warriors,7
2012,548327,19,Royal Challengers Bangalore,24
2012,548328,0,Kings XI Punjab,8
2012,548328,0,Kolkata Knight Riders,10
2012,548328,1,Kings XI Punjab,7
2012,548328,1,Kolkata Knight Riders,8
2012,548328,2,Kings XI Punjab,9
2012,548328,2,Kolkata Knight Riders,0
2012,548328,3,Kings XI Punjab,5
2012,548328,3,Kolkata Knight Riders,14
2012,548328,4,Kings XI Punjab,5
2012,548328,4,Kolkata Knight Riders,15
2012,548328,5,Kings XI Punjab,11
2012,548328,5,Kolkata Knight Riders,6
2012,548328,6,Kings XI Punjab,5
2012,548328,6,Kolkata Knight Riders,3
2012,548328,7,Kings XI Punjab,4
2012,548328,7,Kolkata Knight Riders,4
2012,548328,8,Kings XI Punjab,7
2012,548328,8,Kolkata Knight Riders,12
2012,548328,9,Kings XI Punjab,2
2012,548328,9,Kolkata Knight Riders,3
2012,548328,10,Kings XI Punjab,5
2012,548328,10,Kolkata Knight Riders,5
2012,548328,11,Kings XI Punjab,7
2012,548328,11,Kolkata Knight Riders,3
2012,548328,12,Kings XI Punjab,8
2012,548328,12,Kolkata Knight Riders,8
2012,548328,13,Kings XI Punjab,3
2012,548328,13,Kolkata Knight Riders,6
2012,548328,14,Kings XI Punjab,3
2012,548328,14,Kolkata Knight Riders,10
2012,548328,15,Kings XI Punjab,7
2012,548328,15,Kolkata Knight Riders,10
2012,548328,16,Kings XI Punjab,7
2012,548328,16,Kolkata Knight Riders,10
2012,548328,17,Kings XI Punjab,4
2012,548328,18,Kings XI Punjab,7
2012,548328,19,Kings XI Punjab,10
2012,548329,0,Deccan Chargers,8
2012,548329,0,Delhi Daredevils,16
2012,548329,1,Deccan Chargers,8
2012,548329,1,Delhi Daredevils,7
2012,548329,2,Deccan Chargers,3
2012,548329,2,Delhi Daredevils,6
2012,548329,3,Deccan Chargers,5
2012,548329,3,Delhi Daredevils,13
2012,548329,4,Deccan Chargers,4
2012,548329,4,Delhi Daredevils,2
2012,548329,5,Deccan Chargers,5
2012,548329,5,Delhi Daredevils,20
2012,548329,6,Deccan Chargers,9
2012,548329,6,Delhi Daredevils,10
2012,548329,7,Deccan Chargers,8
2012,548329,7,Delhi Daredevils,13
2012,548329,8,Deccan Chargers,10
2012,548329,8,Delhi Daredevils,15
2012,548329,9,Deccan Chargers,4
2012,548329,9,Delhi Daredevils,10
2012,548329,10,Deccan Chargers,6
2012,548329,10,Delhi Daredevils,12
2012,548329,11,Deccan Chargers,15
2012,548329,11,Delhi Daredevils,5
2012,548329,12,Deccan Chargers,16
2012,548329,12,Delhi Daredevils,9
2012,548329,13,Deccan Chargers,11
2012,548329,13,Delhi Daredevils,16
2012,548329,14,Deccan Chargers,15
2012,548329,14,Delhi Daredevils,13
2012,548329,15,Deccan Chargers,13
2012,548329,15,Delhi Daredevils,16
2012,548329,16,Deccan Chargers,17
2012,548329,16,Delhi Daredevils,10
2012,548329,17,Deccan Chargers,13
2012,548329,18,Deccan Chargers,8
2012,548329,19,Deccan Chargers,9
2012,548330,0,Chennai Super Kings,6
2012,548330,0,Pune Warriors,9
2012,548330,1,Chennai Super Kings,2
2012,548330,1,Pune Warriors,6
2012,548330,2,Chennai Super Kings,1
2012,548330,2,Pune Warriors,7
2012,548330,3,Chennai Super Kings,8
2012,548330,3,Pune Warriors,4
2012,548330,4,Chennai Super Kings,11
2012,548330,4,Pune Warriors,9
2012,548330,5,Chennai Super Kings,14
2012,548330,5,Pune Warriors,18
2012,548330,6,Chennai Super Kings,1
2012,548330,6,Pune Warriors,2
2012,548330,7,Chennai Super Kings,12
2012,548330,7,Pune Warriors,4
2012,548330,8,Chennai Super Kings,9
2012,548330,8,Pune Warriors,2
2012,548330,9,Chennai Super Kings,4
2012,548330,9,Pune Warriors,4
2012,548330,10,Chennai Super Kings,6
2012,548330,10,Pune Warriors,7
2012,548330,11,Chennai Super Kings,9
2012,548330,11,Pune Warriors,13
2012,548330,12,Chennai Super Kings,6
2012,548330,12,Pune Warriors,11
2012,548330,13,Chennai Super Kings,11
2012,548330,13,Pune Warriors,4
2012,548330,14,Chennai Super Kings,15
2012,548330,14,Pune Warriors,7
2012,548330,15,Chennai Super Kings,1
2012,548330,15,Pune Warriors,17
2012,548330,16,Chennai Super Kings,9
2012,548330,16,Pune Warriors,6
2012,548330,17,Chennai Super Kings,12
2012,548330,17,Pune Warriors,10
